newId	oldId	category
1	1	practical
2	2	brand
3	3	trust
4	4	modern
5	5	practical
6	6	brand
7	7	trust
8	8	modern
9	9	practical
10	10	brand
11	11	trust
12	12	modern
13	13	practical
14	14	brand
15	15	trust
16	16	modern
17	17	practical
18	18	brand
19	19	trust
20	20	modern
21	21	practical
22	22	brand
23	23	trust
24	24	modern
25	25	practical
26	26	brand
27	27	trust
28	28	modern
29	29	practical
30	30	brand
31	37	practical
32	38	brand
33	39	trust
34	40	modern
35	41	practical
36	42	brand
37	43	trust
38	44	modern
39	45	practical
40	46	brand
41	47	trust
42	48	modern
43	79	trust
44	80	modern
45	81	practical
46	82	brand
47	83	trust
48	84	modern
