id	category	quick	statement
1	practical	1	第一印象の強さより、サービス内容と連絡方法がすぐ分かることを優先したい。
2	brand	1	情報へすぐ到達できることより、最初に事業の雰囲気や価値観を感じてもらうことを優先したい。
3	trust	1	独自性のある操作より、初めて見ても使い方を予想できる構成を選びたい。
4	modern	1	使い方を予想できる定番構成より、見た瞬間に新しさを感じる構成を選びたい。
5	practical	1	世界観を途切れなく見せることより、料金と対応範囲を早い段階で示したい。
6	brand	1	料金を早く見せることより、価格以外の価値や選ばれる理由を先に伝えたい。
7	trust	1	独自性の強い料金表示より、見慣れた表や項目で比較できる形を選びたい。
8	modern	1	見慣れた料金表より、選択や切り替えを使って違いを理解する見せ方を試したい。
9	practical	1	ページが長くなっても、判断に必要な情報を一通り掲載したい。
10	brand	1	判断材料の一部を下層へ分けても、最初に伝える内容を絞って印象を強くしたい。
11	trust	1	視覚的な意外性より、見出しから本文へ順番どおり読める構成を選びたい。
12	modern	1	予想どおりの並びより、余白や配置に変化のある編集的な構成を選びたい。
13	practical	1	物語を途切れなく読ませることより、どのページからでも目的の情報へ短く移動できることを優先したい。
14	brand	1	最短で情報へ移動できることより、背景や考え方を順に読んで理解できる流れを優先したい。
15	trust	1	状況に応じて変わる案内より、どのページでも同じ位置に同じ操作がある方を選びたい。
16	modern	1	常に同じ案内より、選んだ内容に応じて次の情報が変わる仕組みを選びたい。
17	practical	0	画面の静けさより、問い合わせや予約の入口を複数の場所で見つけられることを優先したい。
18	brand	0	問い合わせ入口を何度も見せることより、内容に引き込まれてから行動できる流れを優先したい。
19	trust	0	閲覧内容によって案内を変えることより、どの人にも同じ次の手順を示したい。
20	modern	0	常に同じ行動を促すことより、閲覧内容に合わせて次の選択肢が変わる形を選びたい。
21	practical	0	文章の個性より、費用・期間・対象・条件を具体的に確認できることを優先したい。
22	brand	0	条件を細部まで説明することより、事業者の声や考え方が伝わる文章を優先したい。
23	trust	0	印象に残る言い回しより、普段使う言葉で誤解なく読める文章を選びたい。
24	modern	0	慣れた説明調の文章より、短いコピーや大胆な見出しで要点を見せたい。
25	practical	0	雰囲気をつくる写真より、商品・設備・工程を具体的に説明する画像を優先したい。
26	brand	0	商品をそのまま説明する画像より、利用後の気持ちや憧れを想像できる画像を優先したい。
27	trust	0	加工や演出を加えた画像より、実際の人・場所・仕事が分かる自然な写真を中心にしたい。
28	modern	0	現実をそのまま写す写真より、抽象表現や図形を組み合わせたビジュアルを中心にしたい。
29	practical	0	事例の物語性より、依頼内容・対応範囲・期間を横並びで比較できることを優先したい。
30	brand	0	事例を同じ項目で比較することより、一件ごとの背景や変化を物語として伝えたい。
31	practical	0	ブランド独自の配色より、情報の種類を色で素早く見分けられることを優先したい。
32	brand	0	情報を色分けして見分けやすくすることより、事業を思い出せる固有の配色を優先したい。
33	trust	0	新鮮な色の組み合わせより、落ち着いて長く使える配色を選びたい。
34	modern	0	業種でよく使われる配色より、その業種では珍しい色の組み合わせを試したい。
35	practical	0	文字の表情や演出より、本文・表・数字を速く確認できる文字組みを優先したい。
36	brand	0	最短時間で読み取れることより、見出しと余白のリズムが印象に残る文字組みを優先したい。
37	trust	0	場所ごとに文字表現を変えることより、一定のサイズとルールで読み続けられる形を選びたい。
38	modern	0	文字のルールを均一に保つことより、大きさや配置の変化で編集感を出したい。
39	practical	0	画面演出の豊かさより、読み込みと操作の速さを優先したい。
40	brand	0	最短で表示されることより、最初の印象をつくる控えめな演出に時間を使いたい。
41	trust	0	操作に反応する動きを増やすことより、静かで変化の少ない画面を選びたい。
42	modern	0	静止した安定感より、スクロールや選択に反応する変化を取り入れたい。
43	trust	0	新しさで話題になることより、初めての人が不安なく相談できることを成果として重視したい。
44	modern	0	今の顧客にとっての安心感より、新しい顧客層に可能性を感じてもらうことを成果として重視したい。
45	practical	0	印象づくりに使うスペースを抑えても、判断材料と次の行動が明確なサイトにしたい。
46	brand	0	判断材料の一部を下層ページへ分けても、価格以外の魅力が記憶に残るサイトにしたい。
47	trust	0	独自性を抑えても、多くの人が操作を予想でき、安心して読めるサイトにしたい。
48	modern	0	操作に少し慣れが必要でも、これからの事業を感じさせるサイトにしたい。
